n, c, k, t_tot, dt_prim, dt_sec, mean_t_sec, dev_t_sec, m_tot, dm_prim, dm_sec, mean_m_sec, dev_m_sec
10000000, 3.500000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 6.541667, 90163008, 25799142.000000, 64363866.000000, 6.436387, 38.689984, 832749264.000000, 560000000.000000, 272749264.000000, 27.274926, 43.177941
10000000, 3.375000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.250000, 3.333333, 91359042, 25743784.000000, 65615258.000000, 6.561526, 34.436352, 672890160.000000, 560000000.000000, 112890160.000000, 11.289016, 16.734674
10000000, 3.250000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.375000, 3.333333, 93632384, 26972729.000000, 66659655.000000, 6.665966, 36.108871, 684372732.000000, 560000000.000000, 124372732.000000, 12.437273, 18.554602
10000000, 1.625000, 3.333333, 95346897, 26731087.000000, 68615810.000000, 6.861581, 39.793802, 700034844.000000, 560000000.000000, 140034844.000000, 14.003484, 21.813905
10000000, 1.500000, 3.333333, 93841096, 26492728.000000, 67348368.000000, 6.734837, 36.741380, 688553160.000000, 560000000.000000, 128553160.000000, 12.855316, 19.959023
10000000, 1.125000, 3.333333, 94314152, 26921932.000000, 67392220.000000, 6.739222, 41.986783, 668732284.000000, 560000000.000000, 108732284.000000, 10.873228, 15.335134
10000000, 1.000000, 3.333333, 92215517, 25411265.000000, 66804252.000000, 6.680425, 35.615684, 639919928.000000, 560000000.000000, 79919928.000000, 7.991993, 13.233121
10000000, 3.125000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.000000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.375000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.125000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 6.250000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.875000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.750000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.625000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.500000, 2.750000, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 4.000000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.875000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.750000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.625000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.500000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.375000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 3.250000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 6.541667, 84093993, 24416479.000000, 59677514.000000, 5.967751, 29.846529, 784122456.000000, 560000000.000000, 224122456.000000, 22.412246, 36.443958
10000000, 3.000000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.875000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.750000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.625000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.500000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.375000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 2.250000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
10000000, 1.500000, 3.041667, 86040470, 25014759.000000, 61025711.000000, 6.102571, 35.674204, 688494184.000000, 560000000.000000, 128494184.000000, 12.849418, 19.939279
10000000, 2.125000, 2.458333, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
